Race and Virulence Analysis of Puccinia triticina in China in 2014 and 2015		
Occurrence of sdh Mutations in German Alternaria solani Isolates and Potential Impact on Boscalid Sensitivity In Vitro, in the Greenhouse, and in the Field		
Detection and Quantification of Spongospora subterranea Sporosori in Soil by Quantitative Real-Time PCR		
Verticilliumisaacii is a Pathogen and Endophyte of Potato and Sunflower in the Columbia Basin of Washington		
Analysis of Changes in Oil Palm Canopy Architecture From Basal Stem Rot Using Terrestrial Laser Scanner		
Spatiotemporal Spread of Cacao Swollen Shoot Virus Severe Strain 1A in Mixed Hybrid Cacao Pre-inoculated With Mild Strain N1		
q-LAMP Assays for the Detection of Botryosphaeria dothidea Causing Chinese Hickory Canker in Trunk, Water, and Air Samples		
Effects of a Potato Spindle Tuber Viroid Tomato Strain on the Symptoms, Biomass, and Yields of Classical Indicator and Currently Grown Potato and Tomato Cultivars		
Flooding-Associated Soft Rot of Sweetpotato Storage Roots Caused by Distinct Clostridium Isolates		
Emergence of Stemphylium Leaf Blight of Onion in New York Associated With Fungicide Resistance		
Identification and Characterization of Neofabraea kienholzii and Phlyctema vagabunda Causing Leaf and Shoot Lesions of Olive in California		
Sensitivity of the U.S. Blumeria graminis f. sp. tritici Population to Demethylation Inhibitor Fungicides		
Pathogenicity and a TaqMan Real-Time PCR for Specific Detection of Pantoea allii, a Bacterial Pathogen of Onions		
Canker and Wood Rot Pathogens Present in Young Apple Trees and Propagation Material in the Western Cape of South Africa		
Cryptic Infection and Systemic Colonization of Leguminous Crops by Verticillium dahliae, the Cause of Verticillium Wilt		
QTL Mapping of Adult-Plant Resistance to Leaf and Stripe Rust in Wheat Cross SW 8588/Thatcher using the Wheat 55K SNP Array		
Pathogenicities of Rice Blast (Pyricularia oryzae Cavara) Isolates from Kenya		
Phytophthoraabietivora, A New Species Isolated from Diseased Christmas Trees in Connecticut, U.S.A		
Carbendazim Resistance of Fusarium graminearum From Henan Wheat		
Evaluation of the Phytopathological Reaction of Wild and Cultivated Olives as a Means of Finding Promising New Sources of Genetic Diversity for Resistance to Root-Knot Nematodes		
Diversity of Pestalotiopsis-Like Species Causing Gray Blight Disease of Tea Plants (Camellia sinensis) in China, Including two Novel Pestalotiopsis Species, and Analysis of Their Pathogenicity		
A Quantitative Synthesis of the Efficacy and Profitability of Conventional and Biological Fungicides for Botrytis Fruit Rot Management on Strawberry in Florida		
Evaluation of Oxathiapiprolin for the Management of Sunflower Downy Mildew		
Untargeted Metabolomics Based on GC-MS and Chemometrics: A New Tool for the Early Diagnosis of Strawberry Anthracnose Caused by Colletotrichum theobromicola		
A Survey of Declining Palms (Arecaceae) With 16SrIV-D Phytoplasma to Evaluate the Distribution and Host Range in Florida		
Reproduction Ability and Growth Effect of Pin Nematode, Paratylenchus nanus, With Selected Field Pea Cultivars		
Sensitivity of the Colletotrichum acutatum Species Complex From Apple Trees in Brazil to Dithiocarbamates, Methyl Benzimidazole Carbamates, and Quinone Outside Inhibitor Fungicides		
Infrequent Occurrence of Peach Skin Streaking and the Role of Rainwater Attributes on Symptom Development		
Prevalence of Soil-borne Diseases in Kalanchoe blossfeldiana Reveals a Complex of Pathogenic and Opportunistic Fungi		
Characterization, Phylogenetic Analyses, and Pathogenicity of Colletotrichum Species on Morus alba in Sichuan Province, China		
Planthopper Transmission of Ramu Stunt Virus, a Tenuivirus Causing the Sugarcane Disease Ramu Stunt, and its Distribution in Papua New Guinea		
Assessing the Degeneration of Cassava Under High-Virus Inoculum Conditions in Coastal Tanzania		
Population Genetic Analysis of Phytophthora parasitica From Tobacco in Chongqing, Southwestern China		
Fusarium Crown Rot Whitehead Symptom as Influenced by Wheat Crop Management and Sampling Date		
Integrated Management of Downy Mildew on Slicing Cucumber With Fungicides and Host Resistance But Not Trellising		
Identification of a New Powdery Mildew Resistance Gene pmDHT at or Closely Linked to the Pm5 Locus in the Chinese Wheat Landrace Dahongtou		
Prevalence of 'Candidatus Liberibacter solanacearum' Haplotypes in Potato Tubers and Psyllid Vectors in Idaho From 2012 to 2018		
Assessment of Xanthomonas arboricola pv. juglandis Bacterial Load in Infected Walnut Fruits by Quantitative PCR		
The CpnClassiPhyR Is a Resource for cpn60 Universal Target-Based Classification of Phytoplasmas		
Planting a Problem: Examining the Spread of Seed-Borne Potato Virus Y		
Variation in the Internal Transcribed Spacer Region of Phakopsora pachyrhizi and Implications for Molecular Diagnostic Assays		
Virulence and Molecular Diversity in the Cochliobolus sativus Population Causing Barley Spot Blotch in China		
Ready-to-Eat Salad Crops: A Plant Pathogen's Heaven		
Distribution of Cereal Cyst Nematodes (Heterodera avenae and H. filipjevi) in Eastern Washington State		
Characterization of the Race Structure of Leptosphaeria maculans Causing Blackleg of Winter Canola in Oklahoma and Kansas		
Performance and Profitability of Fungicides for Managing Soybean White Mold: A 10-Year Summary of Cooperative Trials		
Proliferation of Recombinant PVY Strains in Two Potato-Producing Regions of Canada, and Symptom Expression in 30 Important Potato Varieties with Different PVY Strains		
Age-Dependent Resistance to Rhizoctonia solani in Sugar Beet		
Field Infection of Virus-Free Sugarcane by Sugarcane Yellow Leaf Virus and Effect of Yellow Leaf on Sugarcane Grown on Organic and on Mineral Soils in Florida		
Assessing Fitness Costs and Phenotypic Instability of Fentin Hydroxide and Tebuconazole Resistance in Venturia effusa		
Response of Sorghum Enhanced in Monolignol Biosynthesis to Stalk Rot Pathogens		
Characterization of Ethiopian Wheat Germplasm for Resistance to Four Puccinia graminis f. sp. tritici Races Facilitated by Single-Race Nurseries		
Fungicide Sensitivity Monitoring of Alternaria spp. Causing Leaf Spot of Sugarbeet (Beta vulgaris) in the Upper Great Lakes		
Characterization of Ti Ringspot-Associated Virus, a Novel Emaravirus Associated with an Emerging Ringspot Disease of Cordyline fruticosa		
A Threshold-Based Decision-Support System for Fungicide Applications Provides Cost-Effective Control of Citrus Postbloom Fruit Drop		
An Improved Evans Blue Staining Method for Consistent, Accurate Assessment of Plasmodiophora brassicae Resting Spore Viability		
Stimulatory Effects of Sublethal Doses of Carbendazim on the Virulence and Sclerotial Production of Botrytis cinerea		
Mapping a Resistance Gene to Puccinia graminis f. sp. tritici in the Bread Wheat Cultivar 'Matlabas'		
Evaluation of High-Resolution Melting for Rapid Differentiation of Phytophthora Hybrids and Their Parental Species		
Detection and Quantification of Potato virus Y Genomes in Single Aphid Stylets		
Multi-Year Field Evaluation of Fluorinated Nematicides Against Meloidogyne incognita in Carrots		
Effect of Selected Biopesticides in Reducing Soybean Rust (Phakopsora pachyrhizi) Development		
Saccharum spontaneum, a Novel Source of Resistance to Root-Lesion and Root-Knot Nematodes in Sugarcane		
Inheritance of Virulence and Linkages of Virulence Genes in an Ethiopian Isolate of the Wheat Stripe Rust Pathogen (Puccinia striiformis f. sp. tritici) Determined Through Sexual Recombination on Berberis holstii		
Wheat Virus Identification Within Infected Tissue Using Nanopore Sequencing Technology		
Effects of Cultivar Susceptibility, Fruit Maturity, Leaf Age, Fungal Isolate, and Temperature on Infection of Almond by Colletotrichum spp		
A New Tymovirus Isolated From Solanum quitoense: Characterization and Prevalence in Two Solanaceous Crops in Ecuador		
Rapid Detection of Monilinia fructicola and Monilinia laxa on Peach and Nectarine using Loop-Mediated Isothermal Amplification		
Sources of Inoculum and Survival of Macrophomina phaseolina in Florida Strawberry Fields		
Nematotoxicity of Paeonia spp. Extracts and Camellia oleifera Tea Seed Cake and Extracts to Heterodera glycines and Meloidogyne incognita		
A qPCR Assay for the Detection of Phytophthora cinnamomi Including an mRNA Protocol Designed to Establish Propagule Viability in Environmental Samples		
Developing a Management Strategy for Little Cherry Disease: The Case of Washington State		
Identification of Resistant Cultivars for Sheath Blight and use of AMMI Models to Understand Genotype and Environment Interactions		
Understanding the Process of Latent Infection of Canker-Causing Pathogens in Stone Fruit and Nut Crops in California		
Identification and Pathogenicity of Fungal Species Associated with Canker Diseases of Pistachio in California		
First report of the root-lesion nematode, pratylenchus fallax, on soybean in Wisconsin, U.S.A.		
Senna bicapsularis: A new natural host of bean yellow mosaic virus in China		
First report of sunflower broomrape (Orobanche cumana) in Portugal		
First report of milk vetch dwarf virus infecting lily in Korea		
First report of shallot yellow stripe virus in lilium lancifolium in China		
First report of beet soil-borne virus on red table beet in Brazil		
First report of mulberry vein banding virus infecting pharbitis purpurea in Yunnan, China		
First report of pythium selbyi causing corn seed and seedling disease in Northeastern China		
First report of root-knot nematode, meloidogyne graminicola, on rice in Sichuan province, Southwest China		
First report of onion yellow dwarf virus, leek yellow stripe virus, and shallot latent virus on garlic (Allium sativum) in Tunisia		
First report of the root-lesion nematode, pratylenchus alleni, on soybean in Wisconsin, U.S.A.		
First report of shoot blight on cryptomeria japonica caused by pestalotiopsis Neglecta in China		
First report of anthracnose caused by colletotrichum spinaciae on Vicia Sativa in China		
First report of the head smut fungus tilletia maclaganii infecting switchgrass (Panicum virgatum) in Indiana		
First report of soft rot on pleurotus eryngii caused by fusarium solani in China		
First report of dactylonectria novozelandica associated with rusty root of panax quinquefolius in china		
First report of brown rot caused by monilia mumecola on chaenomeles lagenaria in China		
First report of alternaria alternata causing leaf spot on rumex crispus in Uruguay		
First report of silverleaf disease caused by chondrostereum purpureum on murta (Ugni molinae) in Chile		
First report of neopestalotiopsis clavispora causing twig die back of machilus thunbergii in Zhejiang Province, China		
First report of gnomoniopsis smithogilvyi causing chestnut brown rot on chestnut fruit in Michigan		
First report of neoscytalidium dimidiatum causing dieback, shoot blight, and branch canker of willow trees in turkey		
First report of binucleate rhizoctonia ag-f causing stalk and root rot of corn (Zea mays) in Turkey		
First report of neofusicoccum parvum causing branch wilt in phoebe zhennan in Sichuan Province, China		
Southern blight on macleaya microcarpa caused by sclerotium rolfsii in China		
First report of pseudomonas grapevine bunch rot caused by pseudomonas syringae pv. syringae		
Can copper be used to treat foliar Phytophthora infections in Pinus radiata?		
Empoasca papayae (Hemiptera: Cicadellidae)-mediated transmission of Papaya meleira virus-Mexican variant in Mexico		
Genera acremonium and sarocladium cause brown spot on bagged apple fruit in China		
Insects visiting drippy blight diseased red oak trees are contaminated with the pathogenic bacterium Lonsdalea quercina		
Development of a species-specific PCR for detection and quantification of meloidogyne hapla in soil using the 16D10 root-knot nematode effector gene		
Single nucleotide polymorphism analysis using KASP assay reveals genetic variability in rotylenchulus reniformis		
Detection and characterization of fusarium oxysporum f. sp. vasinfectum VCG0114 (race 4) isolates of diverse geographic origins		
Patterns and predictions of barley yellow dwarf virus vector migrations in central Europe		
Characterization of fusarium solani populations associated with Spanish strawberry crops		
Spatial distribution of soybean cyst nematode in research plots		
Prevalence and distribution of beet necrotic yellow vein virus strains in North Dakota and Minnesota		
Stem blight of blueberry caused by lasiodiplodia vaccinii sp. nov. in China		
The effect of Fhb1 and Fhb5 quantitative trait loci in hard red spring wheat does not depend on fungicide use for managing fusarium head blight in wheat		
Characterization of Fusarium and Neocosmospora species associated with crown rot and stem canker of pistachio rootstocks in California		
Diversity, prevalence, and virulence of colletotrichum species associated with Lima Bean in Brazil		
Ecology and epidemiology of diseases of nut crops and olives caused by botryosphaeriaceae fungi in California and Spain		
First report of colletotrichum karstii causing anthracnose spot on pitaya (Hylocereus undatus) in Brazil		
Development of three loop-mediated isothermal amplification (LAMP) assays for the rapid detection of calonectria ilicicola, dactylonectria macrodidyma, and the dactylonectria genus in avocado roots		
Sensitivity of Bipolaris oryzae isolates pathogenic on cultivated wild rice to the quinone outside inhibitor azoxystrobin		
Effects of sham on the sensitivity of Sclerotinia sclerotiorum and Botrytis cinerea to QoI fungicides		
Sugarcane mosaic distribution, incidence, increase, and spatial pattern in Louisiana		
Detection and quantification of the 16SrIV-D phytoplasma in leaf tissue of common ornamental palm species in florida using qPCR and dPCR		
Infection, survival, and growth of clavibacter nebraskensis on crop, weed, and prairie plant species		
Distribution and stability of quinone outside inhibitor fungicide resistance in populations of potato pathogenic alternaria spp. In wisconsin		
Establishment of a rapid detection method for rice blast fungus based on one-step loop-mediated isothermal amplification (LAMP)		
Molecular and biochemical characterization of carbendazim-resistant botryodiplodia theobromae field isolates		
Alternative hosts of cercospora beticola in field surveys and inoculation trials		
Multiplex end-point PCR for the detection of three species of Ophiosphaerella causing spring dead spot of bermudagrass		
Contrasting patterns of colonization with verticillium longisporum in winter-and spring-type oilseed rape (Brassica napus) in the field and greenhouse and the role of soil temperature		
Erratum: The previously unidentified, divergent badnavirus species cacao red vein-banding virus is associated with cacao swollen shoot disease in Nigeria (Plant Disease, (2019), 103, 6, 10.1094/PDIS-09-18-1561-RE)		
Trichothecene-producing fusarium species isolated from soybean roots in Ethiopia and Ghana and their pathogenicity on soybean		
Potential for seed transmission of Verticillium longisporum in oilseed rape (Brassica napus)		
Occurrence of watermelon mosaic virus in cucurbita maxima in Poland		
First report of powdery mildew on mediterranean thyme (Thymbra spicata var. spicata) caused by Golovinomyces monardae in Turkey		
First report of Fusarium oxysporum causing wilt and root rot in common borage (Borago officinalis) in Spain		
First report of Cytospora ulmi causing canker on Elaeagnus angustifolia in China		
First report of тАШCandidatus phytoplasma trifoliiтАЩ associated with a witchesтАЩ broom disease in Cannabis sativa in Nevada, U.S.A.		
First report of downy mildew caused by Plasmopara viticola on vitis coignetiae in Korea		
First report of corynespora leaf spot of cotton caused by Corynespora cassiicola in Central India		
First report of Cophinforma atrovirens causing stem rot and dieback of cashew plants in Brazil		
First report of Lagenaria mild mosaic virus infecting bottle gourd in india		
First report of Fusarium incarnatum-equiseti species complex causing fruit rot on muskmelon (Cucumis melo) in China		
First report of powdery mildew caused by Golovinomyces spadiceus on industrial hemp (Cannabis sativa) in Kentucky		
First report of leaf blight on Stenotaphrum secundatum caused by Nigrospora osmanthi in china		
First report of Fusarium avenaceum causing stem rot on Polygonatum cyrtonema in Sichuan, China		
First report of lotus powdery mildew caused by Erysiphe takamatsui in China		
First report of Wheat dwarf virus in winter wheat in Estonia		
First report of anthracnose of persimmon caused by colletotrichum nymphaeae in Korea		
First report of neofusicoccum parvum causing stem canker and necrosis of phoebe sheareri in Zhejiang Province, China		
First report of Alternaria alternata causing postharvest brown spot of plums (Prunus domestica) in Pakistan		
First report of Tomato leaf curl New Delhi virus infecting cucurbits in the Canary Islands		
First report of dollar spot caused by Clarireedia jacksonii and brown ring patch caused by Waitea circinata var. circinata on Agrostis stolonifera in Spain		
First report of postharvest fruit rot on tomato (Lycopersicon esculentum) caused by Fusarium equiseti in China		
First report of barley virus G in Australia		
First report of Fusarium euwallaceae causing necrotic lesions on Persea americana in South Africa		
First report of powdery mildew of beautiful millettia (Millettia speciosa) caused by Erysiphe quercicola in China		
First report of hop stunt viroid infecting hop in Ohio		
First report of sugarcane mosaic virus on pumpkin plants exhibiting mosaic and mottling symptoms in China		
First report of Alternaria alternata causing leaf spot on Digitalis purpurea in Italy		
First report of red crown rot of soybeans caused by Calonectria ilicicola (anamorph: Cylindrocladium parasiticum) in Illinois		
First report of leaf curl on celery (Apium graveolens var. dulce) caused by Colletotrichum fioriniae in New York		
First report of Diaporthe gulyae causing phomopsis stem canker of sunflower (Helianthus annuus) in Argentina		
First report of Alternaria tenuissima causing leaf spot disease on Iris tectorum in China		
First report of stalk rot of maize caused by Stenocarpella maydis in Spain		
First report of Cercospora cf. flagellaris on industrial hemp (Cannabis sativa) in Kentucky		
First report of sclerotinia crown rot caused by Sclerotinia minor on Hemp		
First report of bacterial leaf spot caused by Pseudomonas viridiflava on chinese cabbage in China		
First report of Fusarium oxysporum causing vascular wilt of Stevia rebaudiana in Colombia		
First report of cercospora leaf spot caused by Cercospora beticola on spinach in Pakistan		
First report of тАШCandidatus phytoplasma ulmiтАЩ on elm in Belgium		
First record of Clover yellow mosaic virus from white clover (Trifolium repens) in Australia		
First report of тАШCandidatus phytoplasma trifoliiтАЩ associated with witchesтАЩ broom disease of rauwolfia serpentina from northeast region of India		
First report of cotton leafroll dwarf virus infecting cotton in Georgia, U.S.A.		
First report of apple stem grooving virus in Yunnan Huang Jing (Polygonatum kingianum) in China		
First report of Pythium myriotylum associated with peanut pod rot in China		
First report of Rhizoctonia solani AG 2-2IIIB causing elephant hide on potato tubers in South Africa		
First report of lettuce big-vein disease associated with mirafiori lettuce big-vein virus and lettuce big-vein associated virus on lettuce in Hungary		
First report of stem and root rot of chinese kale caused by Fusarium incarnatum-equiseti species complex in China		
First report of cotton leafroll dwarf virus in upland cotton (Gossypium hirsutum) in Mississippi		
First report of anthracnose leaf blight of maize caused by Colletotrichum graminicola in China		
First report of Cladosporium tenuissimum associated with leaf spot of alfalfa (Medicago sativa) in China		
First report of powdery mildew caused by Podosphaera elsholtziae on Dracocephalum tanguticum in China		
First report of Pseudonectria buxi causing volutella blight on boxwood in Czech Republic		
First report of powdery mildew caused by Pseudoidium neolycopersici on Moringa oleifera in China		
First report of tar spot of maize (Zea mays), caused by Phyllachora maydis, in Ohio		
First report of laurel wilt disease caused by Raffaelea lauricola on swamp bay in Louisiana		
Discovery of a root-lesion nematode, Pratylenchus scribneri, infecting corn in Inner Mongolia, China		
First report of downy mildew caused by Plasmopara muralis on boston ivy (parthenocissus tricuspidata) in Poland		
First report of powdery mildew caused by Golovinomyces cynoglossi on Microula trichocarpa in China		
First report of a rust disease caused by Uromyces sp. on suaeda californica in California		
First report of anthracnose causing both crown and fruit rot of strawberry by Colletotrichum siamense in North Carolina		
First report of eastern dodder (Cuscuta monogyna) parasitizing common fig (Ficus carica) at the Crimean Peninsula		
First report of dodder (Cuscuta australis) parasitizing the invasive jerusalem artichoke (Helianthus tuberosus) in China		
First report of anthracnose crown rot of strawberry caused by Colletotrichum siamense in Taiwan		
First report of Nigrospora sphaerica causing shot hole disease on mulberry in India		
First report of leaf spot of Bletilla striata caused by Fusarium asiaticum in China		
Detection and first report of beet ringspot virus in ornamental Oxalis in the United States		
First report of Xanthomonas hortorum pv. hederae causing bacterial leaf spot of Hedera helix in Taiwan		
First report of Colletotrichum truncatum of Solanum lycopersicum in Mexico		
First report of barley yellow dwarf virus-PAV infecting oats (Avena sativa) in Taiwan		
Occurrence of seedling blight caused by fusarium tricinctum on rice in China		
The weedy parasite Phelipanche aegyptiaca attacks Brassica rapa var. rapa for the first time in Israel		
First report of Ilyonectria robusta associated with black foot disease of grapevine in the United States		
Occurrence of Fusarium equiseti on sauropus androgynus in Hainan, China		
First report of Botryosphaeria dothidea causing shoot canker on mulberry in China		
First report of Phoma herbarum causing leaf spot of purple coneflower (Echinacea purpurea) in Northern Italy		
First report of shoot blight on fragrant pear caused by Pantoea ananatis in China		
First report of Neopestalotiopsis clavispora causing leaf spot on macadamia in Brazil		
First report of dodder (Cuscuta europaea) parasitizing another dodder species (C. lupuliformis) in Poland		
First report of leaf brown spot caused by Epicoccum sorghinum on Digitaria sanguinalis in China		
First report of powdery mildew caused by Neoerysiphe galeopsidis on Lamium purpureum in Korea		
First report of white blister rust disease caused by Wilsoniana amaranthi on amaranthus hybridus in Korea		
First report of potato virus y in ornamental calibrachoa in Argentina		
First report of Colletotrichum fructicola causing apple bitter rot in Europe		
First report of leaf blight of rice caused by Pantoea ananatis and pantoea dispersa in Malaysia		
Resistance to Phytophthora cinnamomi in American chestnut (Castanea dentata) backcross populations that descended from two chinese chestnut (Castanea mollissima) sources of resistance		
Occurrence and distribution of physiological races of exserohilum turcicum in Ontario, Canada		
Identification, characterization, pathogenicity, and distribution of Verticillium alfalfae in Alfalfa Plants in China		
Comparative performance of fungicides, biofungicides, and host plant defense inducers in suppression of phytophthora root rot in flowering dogwood during simulated root flooding events		
Impact of postharvest storage on the infection and colonization of Penicillium digitatum and Penicillium expansum on nectarine		
Rasta disease of tomato in ghana is caused by the pospiviroids Potato spindle tuber viroid and Tomato apical stunt viroid		
Virulence, molecular diversity, and mating type of curvularia lunata in China		
Botrytis polyphyllae: A new botrytis species causing gray mold on paris polyphylla		
The effect of leaf wetness on phytophthora ramorum zoospore infection of rhododendron тАШcunninghamтАЩs whiteтАЩ and viburnum tinus		
Biological and molecular properties of wild potato mosaic virus isolates from pepino (Solanum muricatum)		
Drought exacerbates botryosphaeria dieback symptoms in grapevines and confounds host-based molecular markers of infection by neofusicoccum parvum		
Oil adjuvants enhance the efficacy of pyraclostrobin in managing cucumber powdery mildew (Podosphaera xanthii) by modifying the affinity of fungicide droplets on diseased leaves		
Monitoring methyl benzimidazole carbamate-resistant isolates of the cucurbit powdery mildew pathogen, Podosphaera xanthii, using loop-mediated isothermal amplification		
Biological, pathological, and molecular characteristics of a new potyvirus, dendrobium chlorotic mosaic virus, infecting Dendrobium orchid		
A real-time PCR differentiating pantoea stewartii subsp. stewartii from P. stewartii subsp. indologenes in corn seed		
Etiology of alternaria leaf spot of cotton in Southern New Mexico		
Genetic diversity and differentiation in phoma betae populations on table beet in New York and Washington States		
Effect of seed treatment and foliar crop protection products on sudden death syndrome and yield of soybean		
Favorable bioactivity of the SDHI fungicide benzovindiflupyr against Sclerotinia sclerotiorum mycelial growth, sclerotial production, and myceliogenic and carpogenic germination of sclerotia		
Virulence structure and diversity of puccinia coronata f. sp. avenae P. syd. &amp	 syd. in Poland during 2013 to 2015	
African nightshade and african spinach decrease root-knot nematode and potato cyst nematode soil infestation in Kenya		
Treatment with wheat root exudates and soil microorganisms from wheat/ watermelon companion cropping can induce watermelon disease resistance against fusarium oxysporum f. sp. niveum		
Soilborne inoculum density and environmental parameters influence the development of pythium stunt caused by pythium tracheiphilum in head lettuce crops		
Development and evaluation of laboratory bioassays to study powdery mildew Pathogens of phlox in vitro		
First report of Septoria sp. infecting Stevia rebaudiana in France and screening of Stevia rebaudiana genotypes for host resistance		
Spatial associations of vines infected with grapevine red blotch virus in oregon vineyards		
Characterization of Botrytis cinerea from commercial cut flower roses		
Baseline sensitivity and control efficacy of pyraclostrobin against botryosphaeria dothidea isolates in China		
Polyphenols from Rheum roots inhibit growth of fungal and oomycete phytopathogens and induce plant disease resistance		
An improved crop scouting technique incorporating unmanned aerial vehicle-assisted multispectral crop imaging into conventional scouting practice for gummy stem blight in Watermelon		
